	Name	X_1_1	exponent_1_1	X_1_2	exponent_1_2	X_2_1	exponent_2_1	X_2_2	exponent_2_2	dx	dc	dd
161	('dudy^-2_0^0', 'k^2_u^1')	dudy	-2	0	0	k	2	u	1	0.05091182704270655	0.013641737521672864	5.614605611445722e-05
162	('dudy^-2_0^0', 'k^2_u^2')	dudy	-2	0	0	k	2	u	2	0.050166558374687545	0.01608409783860549	3.958986394304941e-05
163	('dudy^-2_0^0', 'eps^-2_u^-2')	dudy	-2	0	0	eps	-2	u	-2	0.0477764305998605	0.01462972545689405	7.453839937655321e-05
164	('dudy^-2_0^0', 'eps^-2_u^-1')	dudy	-2	0	0	eps	-2	u	-1	0.056539602111641225	0.014541065602676094	9.956452675544071e-05
165	('dudy^-2_0^0', 'eps^-2_u^1')	dudy	-2	0	0	eps	-2	u	1	0.0698539757078561	0.014677297972661625	0.00014756531461805746
166	('dudy^-2_0^0', 'eps^-2_u^2')	dudy	-2	0	0	eps	-2	u	2	0.07467058202980356	0.014756412222912614	0.00016960712357922097
167	('dudy^-2_0^0', 'eps^-1_u^-2')	dudy	-2	0	0	eps	-1	u	-2	0.02825879220924643	0.015305654105361336	2.2134322273339934e-05
168	('dudy^-2_0^0', 'eps^-1_u^-1')	dudy	-2	0	0	eps	-1	u	-1	0.045017503590688075	0.014812836900514532	5.065393637580478e-05
169	('dudy^-2_0^0', 'eps^-1_u^1')	dudy	-2	0	0	eps	-1	u	1	0.07379671497858649	0.013889862373803049	0.00012542039929777437
170	('dudy^-2_0^0', 'eps^-1_u^2')	dudy	-2	0	0	eps	-1	u	2	0.08477636910702632	0.013852977136359869	0.0001644484962686619
171	('dudy^-2_0^0', 'eps^1_u^-2')	dudy	-2	0	0	eps	1	u	-2	0.03533578693707415	0.012570126036942414	1.1421752097324984e-05
172	('dudy^-2_0^0', 'eps^1_u^-1')	dudy	-2	0	0	eps	1	u	-1	0.03279147235100964	0.012531853869028853	1.1150202833353873e-05
173	('dudy^-2_0^0', 'eps^1_u^1')	dudy	-2	0	0	eps	1	u	1	0.03523852629064271	0.013516337870492933	2.0951810791087914e-05
